Date,Open,High,Low,Close
2018-09-28,1183.55,1193.505,1181.105,1191.735
2018-09-27,1195.3,1198.66,1181.32,1181.32
2018-09-26,1201.55,1202.505,1192.91,1194.68
2018-09-25,1199.05,1203.3,1197.21,1201.31
2018-09-24,1200.96,1204.05,1194.605,1198.855
2018-09-23,1199.625,1199.625,1199.625,1199.625
2018-09-21,1206.755,1211.05,1191.96,1199.625
2018-09-20,1203.855,1208.21,1201.46,1207.16
2018-09-19,1198.105,1206.21,1198.105,1203.96
2018-09-18,1201.66,1203.55,1196.105,1198.41
2018-09-17,1194.005,1204.855,1193.105,1200.93
2018-09-16,1193.71,1193.71,1193.71,1193.71
2018-09-14,1201.605,1208.605,1193.21,1193.71
2018-09-13,1206.71,1212.605,1200.41,1201.55
2018-09-12,1198.16,1208.505,1192.91,1205.96
2018-09-11,1195.505,1199.3,1188.005,1198.755
2018-09-10,1194.52,1198.21,1191.755,1195.91
2018-09-07,1200.41,1203.46,1193.66,1196.05
2018-09-06,1197.21,1206.8,1195.91,1200.28
2018-09-05,1191.8,1198.3,1191.05,1196.615
2018-09-04,1200.755,1202.005,1189.91,1191.125
2018-09-03,1200.22,1203.84,1196.005,1201.145
2018-08-30,1206.96,1207.855,1196.355,1199.505
2018-08-29,1201.55,1207.21,1201.505,1206.66
2018-08-28,1210.855,1214.3,1200.005,1201.255
2018-08-27,1207.255,1212.21,1203.355,1211.355
2018-08-26,1206.17,1206.17,1206.17,1206.17
2018-08-24,1185.505,1208.46,1183.3,1206.17
2018-08-23,1196.105,1196.605,1183.91,1185.605
2018-08-22,1196.16,1201.505,1192.8,1195.505
2018-08-21,1190.605,1196.855,1187.8,1196.125
2018-08-20,1182.96,1191.875,1182.96,1191.875
2018-08-19,1184.77,1188.47,1188.47,1188.47
2018-08-17,1174.3,1185.105,1172.005,1184.875
2018-08-16,1176.16,1181.755,1160.8,1174.115
2018-08-15,1194.355,1194.66,1173.505,1174.635
2018-08-14,1194.505,1198.66,1192.3,1193.985
2018-08-13,1212.8,1213.91,1191.8,1193.83
2018-08-12,1211.725,1211.725,1211.725,1211.725
2018-08-10,1212.755,1216.855,1206.005,1211.725
2018-08-09,1213.66,1217.255,1210.96,1212.255
2018-08-08,1211.105,1215.8,1206.91,1213.605
2018-08-07,1208.41,1216.105,1207.96,1211.005
2018-08-06,1213.96,1217.91,1206.855,1207.56
2018-08-05,1213.43,1213.43,1213.43,1213.43
2018-08-03,1208.855,1219.755,1204.55,1213.43
2018-08-02,1216.66,1221.16,1207.21,1207.96
2018-08-01,1224.255,1224.8,1215.96,1216.3
2018-07-31,1221.71,1227.91,1214.8,1223.91
2018-07-30,1223.55,1225.105,1219.41,1221.58
2018-07-29,1223.375,1223.375,1223.375,1223.375
2018-07-27,1223.8,1227.3,1217.71,1223.375
2018-07-26,1231.8,1235.255,1222.55,1222.97
2018-07-25,1224.605,1234.005,1223.41,1231.81
2018-07-24,1224.91,1229.46,1218.46,1224.55
2018-07-23,1231.46,1235.005,1222.46,1224.55
2018-07-22,1232.07,1233.875,1232.07,1233.875
2018-07-20,1223.855,1232.16,1216.3,1232.07
2018-07-19,1227.21,1228.605,1212.105,1222.8
2018-07-18,1227.855,1229.16,1221.3,1227.605
2018-07-17,1240.755,1244.91,1226.225,1226.225
2018-07-16,1241.66,1245.605,1238.505,1240.82
2018-07-15,1237.62,1237.62,1237.62,1237.62
2018-07-13,1246.91,1248.105,1237.16,1241.55
2018-07-12,1242.71,1248.55,1241.41,1247.005
2018-07-11,1255.96,1256.91,1241.66,1242.16
2018-07-10,1257.855,1260.3,1247.46,1257.68
2018-07-09,1255.125,1265.96,1255.125,1257.765
2018-07-08,1254.725,1254.725,1254.725,1254.725
2018-07-06,1257.505,1258.755,1252.91,1254.725
2018-07-05,1256.21,1259.8,1251.41,1257.95
2018-07-04,1252.55,1261.105,1252.505,1257.41
2018-07-03,1242.05,1256.91,1238.005,1252.855
2018-07-02,1252.6,1254.25,1239.91,1241.855
2018-07-01,1253.18,1253.18,1253.18,1253.18
2018-06-30,1253.18,1253.18,1253.18,1253.18
2018-06-29,1248.105,1255.505,1246.355,1253.18
2018-06-28,1252.355,1254.105,1246.105,1248.275
2018-06-27,1258.46,1259.91,1251.41,1252.02
2018-06-26,1266.355,1267.755,1254.91,1258.82
2018-06-25,1271.755,1272.605,1264.66,1265.505
2018-06-24,1269.645,1271.875,1269.645,1271.875
2018-06-22,1267.6,1271.105,1266.755,1269.645
2018-06-21,1264.2,1270.1,1261.55,1267.72
2018-06-20,1275.105,1276.41,1267.8,1268.165
