Date,Open,High,Low,Close,Adj Close
2011-05-17,80.769997,81.763,80.760002,80.781998,80.781998
2011-05-18,81.447998,81.536003,80.938004,81.420998,81.420998
2011-05-19,81.669998,82.212997,81.489998,81.661003,81.661003
2011-05-20,81.704002,81.839996,81.475998,81.713997,81.713997
2011-05-23,81.730003,82.014,81.300003,81.739998,81.739998
2011-05-24,81.971001,82.18,81.599998,81.957001,81.957001
2011-05-25,82.059998,82.153,81.790001,82.047997,82.047997
2011-05-26,82.019997,82.032997,81.176003,82.022003,82.022003
2011-05-27,81.277,81.286003,80.709999,81.269997,81.269997
2011-05-30,80.833,80.962997,80.739998,80.831001,80.831001
2011-05-31,80.865997,81.748001,80.711998,80.879997,80.879997
2011-06-01,81.419998,81.475998,80.68,81.453003,81.453003
2011-06-02,80.910004,81.300003,80.599998,80.893997,80.893997
2011-06-03,80.953003,80.970001,80.059998,80.970001,80.970001
2011-06-06,80.239998,80.370003,79.997002,80.220001,80.220001
2011-06-07,80.129997,80.32,80.083,80.120003,80.120003
2011-06-08,80.169998,80.245003,79.709999,80.169998,80.169998
2011-06-09,79.906998,80.289001,79.830002,79.889999,79.889999
2011-06-10,80.278,80.387001,79.970001,80.290001,80.290001
2011-06-13,80.332001,80.669998,80.139999,80.339996,80.339996
2011-06-14,80.169998,80.598999,80.080002,80.176003,80.176003
2011-06-15,80.541,81.036003,80.375999,80.540001,80.540001
2011-06-16,80.889999,81.013,80.494003,80.879997,80.879997
2011-06-17,80.603996,80.669998,80.021004,80.577003,80.577003
2011-06-20,80.055,80.351997,80.027,80.075996,80.075996
2011-06-21,80.239998,80.25,80.050003,80.234001,80.234001
2011-06-22,80.226997,80.311996,80.008003,80.221001,80.221001
2011-06-23,80.379997,80.769997,80.349998,80.383003,80.383003
2011-06-24,80.448997,80.598999,80.130997,80.440002,80.440002
2011-06-27,80.463997,80.964996,80.419998,80.459999,80.459999
2011-06-28,80.849998,80.896004,80.664001,80.849998,80.849998
2011-06-29,81.070999,81.176003,80.556,81.080002,81.080002
2011-06-30,80.730003,80.808998,80.260002,80.709999,80.709999
2011-07-01,80.619003,81.120003,80.540001,80.599998,80.599998
2011-07-04,80.848,80.862999,80.540001,80.879997,80.879997
2011-07-05,80.739998,81.181,80.739998,80.733002,80.733002
2011-07-06,81.080002,81.110001,80.786003,81.07,81.07
2011-07-07,80.940002,81.396004,80.790001,80.938004,80.938004
2011-07-08,81.230003,81.459,80.5,81.230003,81.230003
2011-07-11,80.650002,80.810997,80.309998,80.650002,80.650002
2011-07-12,80.306999,80.364998,79.251999,80.290001,80.290001
2011-07-13,79.300003,79.551003,78.886002,79.318001,79.318001
2011-07-14,78.910004,79.584,78.502998,78.919998,78.919998
2011-07-15,79.169998,79.260002,78.900002,79.18,79.18
2011-07-18,79.117996,79.140999,78.940002,79.112999,79.112999
2011-07-19,79.050003,79.120003,78.800003,79.050003,79.050003
2011-07-20,79.126999,79.299004,78.709,79.125999,79.125999
2011-07-21,78.761002,78.997002,78.360001,78.753998,78.753998
2011-07-22,78.565002,78.693001,78.269997,78.584,78.584
2011-07-25,78.379997,78.504997,78.040001,78.379997,78.379997
2011-07-26,78.304001,78.378998,77.93,78.300003,78.300003
2011-07-27,77.914001,78.024002,77.559998,77.914001,77.914001
2011-07-28,77.938004,78.004997,77.599998,77.93,77.93
2011-07-29,77.730003,77.839996,77.010002,77.730003,77.730003
2011-08-01,77.209999,77.985001,76.369003,77.212997,77.212997
2011-08-02,77.400002,77.629997,77.079002,77.459999,77.459999
2011-08-03,77.330002,77.389999,76.799004,77.334999,77.334999
2011-08-04,77.109001,80.225998,77.012001,77.112,77.112
2011-08-05,79.286003,79.322998,78.339996,79.290001,79.290001
2011-08-08,78.245003,78.389999,77.519997,78.253998,78.253998
2011-08-09,77.578003,77.820999,76.972,77.584999,77.584999
2011-08-10,77.050003,77.130997,76.348,77.050003,77.050003
2011-08-11,76.757004,77.198997,76.309998,76.759003,76.759003
2011-08-12,76.860001,77.001999,76.5,76.860001,76.860001
2011-08-15,76.819,77.07,76.580002,76.82,76.82
2011-08-16,76.839996,76.918999,76.650002,76.839996,76.839996
2011-08-17,76.760002,76.790001,76.410004,76.753998,76.753998
2011-08-18,76.539001,76.684998,76.440002,76.546997,76.546997
2011-08-19,76.633003,76.884003,76.019997,76.637001,76.637001
2011-08-22,76.779999,77.163002,76.529999,76.786003,76.786003
2011-08-23,76.836998,76.926003,76.459999,76.832001,76.832001
2011-08-24,76.650002,76.862,76.459999,76.660004,76.660004
2011-08-25,77.037003,77.449997,76.841003,77.053001,77.053001
2011-08-26,77.410004,77.459999,76.5,77.434998,77.434998
2011-08-29,76.697998,76.998001,76.568001,76.681999,76.681999
2011-08-30,76.946999,76.980003,76.647003,76.932999,76.932999
2011-08-31,76.690002,76.824997,76.421997,76.700996,76.700996
2011-09-01,76.746002,77.191002,76.695999,76.730003,76.730003
2011-09-02,76.859001,76.952003,76.559998,76.860001,76.860001
2011-09-05,76.891998,76.961998,76.68,76.902,76.902
2011-09-06,76.900002,77.563004,76.709999,76.902,76.902
2011-09-07,77.620003,77.623001,77.070999,77.617996,77.617996
2011-09-08,77.319,77.440002,77.129997,77.301003,77.301003
2011-09-09,77.501999,77.845001,77.097,77.508003,77.508003
2011-09-12,77.470001,77.580002,76.739998,77.462997,77.462997
2011-09-13,77.185997,77.237999,76.779999,77.18,77.18
2011-09-14,76.93,77.017998,76.650002,76.931999,76.931999
2011-09-15,76.669998,77.075996,76.550003,76.677002,76.677002
2011-09-16,76.722,76.960999,76.660004,76.734001,76.734001
2011-09-19,76.910004,76.969002,76.346001,76.910004,76.910004
2011-09-20,76.57,76.752998,76.403,76.596001,76.596001
2011-09-21,76.449997,76.600998,76.134003,76.462997,76.462997
2011-09-22,76.536003,76.93,76.139999,76.538002,76.538002
2011-09-23,76.306999,76.346001,76.129997,76.306,76.306
2011-09-26,76.510002,76.751999,76.230003,76.540001,76.540001
2011-09-27,76.32,76.690002,76.260002,76.335999,76.335999
2011-09-28,76.820999,76.853996,76.309998,76.807999,76.807999
2011-09-29,76.549004,76.947998,76.411003,76.540001,76.540001
2011-09-30,76.75,77.129997,76.501999,76.764999,76.764999
2011-10-03,77.209999,77.231003,76.519997,77.190002,77.190002
2011-10-04,76.599998,76.910004,76.510002,76.592003,76.592003
2011-10-05,76.779999,77.036003,76.610001,76.760002,76.760002
2011-10-06,76.781998,76.830002,76.57,76.781998,76.781998
2011-10-07,76.657997,76.904999,76.580002,76.657997,76.657997
2011-10-10,76.769997,76.839996,76.563004,76.769997,76.769997
2011-10-11,76.667999,76.745003,76.580002,76.660004,76.660004
2011-10-12,76.669998,77.473,76.356003,76.667,76.667
2011-10-13,77.191002,77.220001,76.672997,77.18,77.18
2011-10-14,76.898003,77.417999,76.849998,76.879997,76.879997
2011-10-17,77.220001,77.431999,76.639999,77.220001,77.220001
2011-10-18,76.832001,76.871002,76.610001,76.831001,76.831001
2011-10-19,76.769997,76.849998,76.639999,76.777,76.777
2011-10-20,76.802002,77.073997,76.660004,76.800003,76.800003
2011-10-21,76.859001,76.900002,75.959999,76.860001,76.860001
2011-10-24,76.239998,76.434998,76.009003,76.209999,76.209999
2011-10-25,76.137001,76.260002,75.762001,76.132004,76.132004
2011-10-26,76.107002,76.150002,75.720001,76.109001,76.109001
2011-10-27,76.188004,76.260002,75.650002,76.183998,76.183998
2011-10-28,75.919998,75.973999,75.68,75.93,75.93
2011-10-31,75.75,79.519997,75.57,75.739998,75.739998
2011-11-01,78.323997,78.948997,78.027,78.307999,78.307999
2011-11-02,78.279999,78.313004,77.963997,78.306,78.306
2011-11-03,78.124001,78.157997,77.900002,78.139,78.139
2011-11-04,78.029999,78.253998,77.970001,78.053001,78.053001
2011-11-07,78.160004,78.175003,77.980003,78.129997,78.129997
2011-11-08,78.072998,78.080002,77.626999,78.077003,78.077003
2011-11-09,77.717003,77.760002,77.529999,77.708,77.708
2011-11-10,77.773003,77.862,77.519997,77.758003,77.758003
2011-11-11,77.649002,77.661003,77.054001,77.652,77.652
2011-11-14,77.142998,77.237,76.803001,77.155998,77.155998
2011-11-15,77.089996,77.323997,76.908997,77.079002,77.079002
2011-11-16,77.063004,77.129997,76.860001,77.059998,77.059998
